cycle number	Q discharge/mA.h	Q charge/mA.h	Ewe/V	(Q-Qo)/mA.h	time/s	<I>/mA	Capacity/mA.h	Efficiency/%	
0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	2,7614701E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	2,7614434E+000	0,000000000000000E+000	9,999999747378752E-001	0,000000000000000E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	2,7614129E+000	0,000000000000000E+000	1,999999949475750E+000	0,000000000000000E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	2,7614701E+000	0,000000000000000E+000	2,999999924213625E+000	0,000000000000000E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	2,7615044E+000	0,000000000000000E+000	3,999999898951501E+000	0,000000000000000E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	2,7614663E+000	0,000000000000000E+000	4,999999873689376E+000	0,000000000000000E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	2,7615387E+000	0,000000000000000E+000	5,999999848427251E+000	0,000000000000000E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	2,7615006E+000	0,000000000000000E+000	6,999999823165126E+000	0,000000000000000E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	2,7614243E+000	0,000000000000000E+000	7,999999797903001E+000	0,000000000000000E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	2,7614853E+000	0,000000000000000E+000	8,999999772640876E+000	0,000000000000000E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	2,7614434E+000	0,000000000000000E+000	9,999799747383804E+000	0,000000000000000E+000	0,000000000000000E+000	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	2,335751056671143E-007	2,7921188E+000	2,335751056671143E-007	9,999999747378752E+000	4,204352008218922E+000	2,335751056671143E-007	0,0000000E+000
0,000000000000000E+000	0,000000000000000E+000	4,809197584788004E-007	2,7985795E+000	4,809197584788004E-007	1,000019974737370E+001	4,452203863082481E+000	4,809197584788004E-007	0,0000000E+000
